,Date,Bitcoin,Gold,Gold_Can_Trade,Gold_Rate,Bitcoin_Rate
0,2016-9-11,621.65,1324.6,FALSE,,
1,2016-9-12,609.67,1324.6,TRUE,,-0.019649975
2,2016-9-13,610.92,1323.65,TRUE,-0.000717712,0.002046094
3,2016-9-14,608.82,1321.75,TRUE,-0.001437488,-0.003449295
4,2016-9-15,610.38,1310.8,TRUE,-0.008353677,0.002555785
5,2016-9-16,609.11,1308.35,TRUE,-0.001872588,-0.002085009
6,2016-9-17,607.04,1308.35,FALSE,0,-0.003409989
7,2016-9-18,611.58,1308.35,FALSE,0,0.007423395
8,2016-9-19,610.19,1314.85,TRUE,0.00494353,-0.002277979
9,2016-9-20,608.66,1313.8,TRUE,-0.000799208,-0.002513719
10,2016-9-21,598.88,1326.1,TRUE,0.009275319,-0.016330484
11,2016-9-22,597.42,1339.1,TRUE,0.009708013,-0.002443842
12,2016-9-23,594.08,1338.65,TRUE,-0.00033616,-0.005622138
13,2016-9-24,603.88,1338.65,FALSE,0,0.01622839
14,2016-9-25,601.74,1338.65,FALSE,0,-0.003556353
15,2016-9-26,598.98,1340.5,TRUE,0.001380082,-0.004607833
16,2016-9-27,605.96,1327,TRUE,-0.010173323,0.011518912
17,2016-9-28,605.67,1322.5,TRUE,-0.003402647,-0.000478809
18,2016-9-29,603.85,1318.1,TRUE,-0.003338138,-0.003013994
19,2016-9-30,609.39,1322.5,TRUE,0.003327032,0.009091058
20,2016-10-1,614.82,1322.5,FALSE,0,0.008831853
21,2016-10-2,612.98,1322.5,FALSE,0,-0.003001729
22,2016-10-3,611.85,1313.3,TRUE,-0.007005254,-0.001846858
23,2016-10-4,609.62,1283.3,TRUE,-0.023377231,-0.003658016
24,2016-10-5,607.18,1269.4,TRUE,-0.010950055,-0.004018578
25,2016-10-6,612.08,1254.5,TRUE,-0.011877242,0.008005489
26,2016-10-7,617.21,1258.75,TRUE,0.003376365,0.008311596
27,2016-10-8,614.74,1258.75,FALSE,0,-0.004017959
28,2016-10-9,615.65,1258.75,FALSE,0,0.001478113
29,2016-10-10,617.54,1259.5,TRUE,0.000595474,0.00306053
30,2016-10-11,614.77,1253.45,TRUE,-0.004826678,-0.00450575
31,2016-10-12,635.01,1256.5,TRUE,0.002427378,0.031873514
32,2016-10-13,635.96,1261.05,TRUE,0.003608104,0.001493805
33,2016-10-14,634.02,1251.75,TRUE,-0.007429599,-0.00305984
34,2016-10-15,637.94,1251.75,FALSE,0,0.006144779
35,2016-10-16,641.42,1251.75,FALSE,0,0.005425462
36,2016-10-17,638.97,1254.8,TRUE,0.002430666,-0.003834296
37,2016-10-18,636.29,1258.2,TRUE,0.002702273,-0.004211916
38,2016-10-19,629.25,1269.05,TRUE,0.008549703,-0.011187922
39,2016-10-20,627.72,1271.65,TRUE,0.002044588,-0.002437392
40,2016-10-21,631.92,1266.05,TRUE,-0.004423206,0.006646411
41,2016-10-22,655.48,1266.05,FALSE,0,0.035943126
42,2016-10-23,653.25,1266.05,FALSE,0,-0.003413701
43,2016-10-24,651.39,1265.55,TRUE,-0.000395085,-0.002855432
44,2016-10-25,655.31,1269.4,TRUE,0.003032929,0.005981902
